Player,Tm,Pos,G,GS,MP,FG,FGA,FG%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
David West\westda01,GSW,C,73,0,13.7,3.0,5.2,0.5710000000000001,0.575,0.8,1.1,0.759,0.9,2.4,3.3,1.9,0.6,1.0,1.1,1.6,6.8,20.9,0.6,0.209,7.7,18.2,13.3,20.5,2.3,5.9,16.2,21.7,1.8,1.7,3.5,0.168,-0.2,3.2,3.0,1.3
Russell Westbrook\westbru01,OKC,PG,80,80,36.4,9.5,21.1,0.449,0.47700000000000004,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,24.7,0.524,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,0.166,5.1,3.1,8.2,7.5
Hassan Whiteside\whiteha01,MIA,C,54,54,25.3,5.8,10.7,0.54,0.542,2.4,3.4,0.703,3.2,8.2,11.4,1.0,0.7,1.7,1.7,2.4,14.0,24.1,0.573,0.315,14.3,36.6,25.4,6.9,1.4,5.9,12.3,24.7,2.3,3.0,5.3,0.187,-2.1,2.3,0.2,0.8
Andrew Wiggins\wiggian01,MIN,SF,82,82,36.3,6.9,15.9,0.43799999999999994,0.48100000000000004,2.5,3.8,0.643,1.0,3.4,4.4,2.0,1.1,0.6,1.7,2.0,17.7,13.0,0.505,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.034,-1.1,-1.4,-2.5,-0.4
C.J. Williams\willicj01,LAC,SG,38,17,18.6,2.3,5.2,0.442,0.49700000000000005,0.3,0.4,0.813,0.3,1.2,1.5,1.1,0.8,0.3,0.5,1.7,5.5,9.5,0.512,0.081,1.9,6.7,4.4,8.5,2.1,1.5,8.9,13.7,0.3,0.5,0.7,0.051,-1.3,-0.1,-1.4,0.1
Lou Williams\willilo02,LAC,SG,79,19,32.8,7.4,16.9,0.435,0.505,5.5,6.2,0.88,0.5,2.0,2.5,5.3,1.1,0.2,3.0,1.3,22.6,20.2,0.574,0.36700000000000005,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,5.5,1.2,6.7,0.125,3.8,-2.9,1.0,2.0
Marvin Williams\willima02,CHO,PF,78,78,25.7,3.3,7.2,0.45799999999999996,0.57,1.3,1.6,0.8290000000000001,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,9.5,13.9,0.603,0.218,3.9,16.2,10.0,7.0,1.4,1.6,9.7,14.8,3.1,1.9,5.0,0.11900000000000001,1.1,0.5,1.7,1.9
Justise Winslow\winslju01,MIA,PF,68,25,24.7,3.0,7.2,0.424,0.474,1.0,1.5,0.635,0.9,4.5,5.4,2.2,0.8,0.5,1.1,2.1,7.8,11.5,0.496,0.213,4.3,20.4,12.3,13.0,1.6,1.7,12.6,16.3,0.2,2.4,2.6,0.075,-2.7,1.7,-1.0,0.4
Brandan Wright\wrighbr03,TOT,PF,28,1,13.6,2.1,3.6,0.578,0.578,0.8,1.2,0.636,1.2,2.2,3.4,0.5,0.5,0.9,0.3,1.1,5.0,19.0,0.596,0.324,9.8,19.3,14.4,5.6,1.7,6.4,6.4,14.7,0.8,0.5,1.3,0.163,-1.3,2.2,0.9,0.3
Delon Wright\wrighde01,TOR,PG,69,4,20.8,2.9,6.3,0.465,0.53,1.4,1.7,0.8290000000000001,0.7,2.2,2.9,2.9,1.0,0.5,1.1,1.2,8.0,16.5,0.574,0.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,0.152,1.2,1.6,2.8,1.7
Guerschon Yabusele\yabusgu01,BOS,PF,33,4,7.1,0.8,1.8,0.426,0.525,0.5,0.7,0.682,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,2.4,12.3,0.5589999999999999,0.361,8.0,16.1,12.1,10.0,0.9,1.8,14.5,15.7,0.3,0.3,0.6,0.122,-1.0,0.2,-0.7,0.1
Joe Young\youngjo01,IND,PG,53,1,10.5,1.5,3.5,0.43,0.49700000000000005,0.4,0.5,0.759,0.2,1.0,1.2,0.7,0.3,0.0,0.5,0.7,3.9,10.1,0.521,0.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18.0,0.1,0.4,0.5,0.043,-2.4,-2.3,-4.7,-0.4
Nick Young\youngni01,GSW,SG,80,8,17.4,2.5,6.1,0.41200000000000003,0.5379999999999999,0.7,0.8,0.862,0.3,1.3,1.6,0.5,0.5,0.1,0.5,1.3,7.3,10.0,0.562,0.133,1.7,7.9,5.0,3.5,1.3,0.4,7.2,17.6,0.8,0.9,1.7,0.057999999999999996,-0.2,-3.4,-3.7,-0.6
Thaddeus Young\youngth01,IND,PF,81,81,32.2,5.2,10.7,0.48700000000000004,0.521,0.7,1.1,0.598,2.3,4.0,6.3,1.9,1.7,0.4,1.3,2.2,11.8,14.8,0.528,0.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,0.10099999999999999,0.1,1.4,1.5,2.3
Cody Zeller\zelleco01,CHO,C,33,0,19.0,2.6,4.7,0.545,0.551,1.8,2.6,0.718,2.0,3.3,5.4,0.9,0.4,0.6,1.0,2.5,7.1,15.9,0.602,0.545,11.4,19.3,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,0.145,-0.6,1.3,0.7,0.4
Tyler Zeller\zellety01,TOT,C,66,34,16.8,2.8,5.1,0.56,0.575,0.9,1.2,0.722,1.7,3.0,4.6,0.7,0.2,0.5,0.7,1.9,6.7,16.0,0.598,0.237,11.0,19.4,15.2,6.7,0.7,2.5,11.3,16.4,2.0,0.9,2.9,0.126,-1.1,-0.5,-1.6,0.1
Paul Zipser\zipsepa01,CHI,SF,54,12,15.3,1.5,4.3,0.34600000000000003,0.425,0.4,0.5,0.731,0.2,2.2,2.4,0.9,0.4,0.3,0.8,1.6,4.0,5.2,0.444,0.111,1.6,16.0,8.5,8.0,1.2,1.6,14.9,15.2,-1.2,0.6,-0.6,-0.034,-5.5,-0.3,-5.9,-0.8
Ante Zizic\zizican01,CLE,C,32,2,6.7,1.5,2.1,0.731,0.731,0.7,0.9,0.7240000000000001,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,3.7,24.2,0.746,0.433,12.8,18.6,15.7,3.8,0.5,5.2,12.1,18.8,0.9,0.2,1.0,0.231,1.3,-1.2,0.1,0.1
Ivica Zubac\zubaciv01,LAL,C,43,0,9.5,1.4,2.8,0.5,0.5,0.9,1.2,0.765,1.0,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7,15.3,0.557,0.418,11.8,20.1,16.0,8.8,0.9,3.0,15.3,17.6,0.5,0.5,1.0,0.11800000000000001,-2.7,0.5,-2.2,0.0
